"GEAR_TYPE","GRID_5","SF_AREA","PROPORTION"
"LL","6100040","2100040",1
"LL","6100045","2100040",1
"LL","6100050","2100040",1
"LL","6100055","2100040",1
"LL","6100060","2100060",1
"LL","6100065","2100060",1
"LL","6100070","2100060",1
"LL","6100075","2100060",1
"LL","6100080","2100080",1
"LL","6100085","2100080",1
"LL","6100090","2100080",1
"LL","6100095","2100080",1
"LL","6100100","2100100",1
"LL","6105045","2100040",1
"LL","6105050","2100040",1
"LL","6105055","2100040",1
"LL","6105060","2100060",1
"LL","6105065","2100060",1
"LL","6105070","2100060",1
"LL","6105075","2100060",1
"LL","6105080","2100080",1
"LL","6105085","2100080",1
"LL","6105090","2100080",1
"LL","6105095","2100080",1
"LL","6105100","2100100",1
"LL","6110040","2110040",1
"LL","6110045","2110040",1
"LL","6110050","2110040",1
"LL","6110055","2110040",1
"LL","6110060","2110060",1
"LL","6110065","2110060",1
"LL","6110070","2110060",1
"LL","6110075","2110060",1
"LL","6110080","2110080",1
"LL","6110085","2110080",1
"LL","6110090","2110080",1
"LL","6110095","2110080",1
"LL","6115035","2110020",1
"LL","6115040","2110040",1
"LL","6115050","2110040",1
"LL","6115055","2110040",1
"LL","6115060","2110060",1
"LL","6115065","2110060",1
"LL","6115070","2110060",1
"LL","6115080","2110080",1
"LL","6115085","2110080",1
"LL","6115090","2110080",1
"LL","6115095","2110080",1
"LL","6120035","2120020",1
"LL","6120040","2120040",1
"LL","6120050","2120040",1
"LL","6120055","2120040",1
"LL","6120060","2120060",1
"LL","6120065","2120060",1
"LL","6120070","2120060",1
"LL","6120085","2120080",1
"LL","6120090","2120080",1
"LL","6125030","2120020",1
"LL","6125035","2120020",1
"LL","6125045","2120040",1
"LL","6125050","2120040",1
"LL","6125055","2120040",1
"LL","6125060","2120060",1
"LL","6125065","2120060",1
"LL","6130045","2130040",1
"LL","6130050","2130040",1
"LL","6200035","2200020",1
"LL","6200040","2200040",1
"LL","6200045","2200040",1
"LL","6200050","2200040",1
"LL","6200055","2200040",1
"LL","6200060","2200060",1
"LL","6200065","2200060",1
"LL","6200070","2200060",1
"LL","6200075","2200060",1
"LL","6200080","2200080",1
"LL","6200085","2200080",1
"LL","6200090","2200080",1
"LL","6200095","2200080",1
"LL","6200100","2200100",1
"LL","6205035","2200020",1
"LL","6205040","2200040",1
"LL","6205045","2200040",1
"LL","6205050","2200040",1
"LL","6205055","2200040",1
"LL","6205060","2200060",1
"LL","6205065","2200060",1
"LL","6205070","2200060",1
"LL","6205075","2200060",1
"LL","6205080","2200080",1
"LL","6205085","2200080",1
"LL","6205090","2200080",1
"LL","6205095","2200080",1
"LL","6205100","2200100",1
"LL","6205105","2200100",1
"LL","6205110","2200100",1
"LL","6205115","2200100",1
"LL","6205120","2200120",1
"LL","6205125","2200120",1
"LL","6210035","2210020",1
"LL","6210040","2210040",1
"LL","6210045","2210040",1
"LL","6210050","2210040",1
"LL","6210055","2210040",1
"LL","6210060","2210060",1
"LL","6210065","2210060",1
"LL","6210070","2210060",1
"LL","6210075","2210060",1
"LL","6210080","2210080",1
"LL","6210085","2210080",1
"LL","6210090","2210080",1
"LL","6210095","2210080",1
"LL","6210100","2210100",1
"LL","6210105","2210100",1
"LL","6210110","2210100",1
"LL","6210115","2210100",1
"LL","6210120","2210120",1
"LL","6210125","2210120",1
"LL","6215030","2210020",1
"LL","6215035","2210020",1
"LL","6215040","2210040",1
"LL","6215045","2210040",1
"LL","6215050","2210040",1
"LL","6215055","2210040",1
"LL","6215060","2210060",1
"LL","6215065","2210060",1
"LL","6215070","2210060",1
"LL","6215075","2210060",1
"LL","6215080","2210080",1
"LL","6215085","2210080",1
"LL","6215090","2210080",1
"LL","6215095","2210080",1
"LL","6215100","2210100",1
"LL","6215105","2210100",1
"LL","6215110","2210100",1
"LL","6215115","2210100",1
"LL","6215120","2210120",1
"LL","6215125","2210120",1
"LL","6220030","2220020",1
"LL","6220035","2220020",1
"LL","6220040","2220040",1
"LL","6220045","2220040",1
"LL","6220050","2220040",1
"LL","6220055","2220040",1
"LL","6220060","2220060",1
"LL","6220065","2220060",1
"LL","6220070","2220060",1
"LL","6220075","2220060",1
"LL","6220080","2220080",1
"LL","6220085","2220080",1
"LL","6220090","2220080",1
"LL","6220095","2220080",1
"LL","6220100","2220100",1
"LL","6220105","2220100",1
"LL","6220110","2220100",1
"LL","6220115","2220100",1
"LL","6225030","2220020",1
"LL","6225035","2220020",1
"LL","6225040","2220040",1
"LL","6225045","2220040",1
"LL","6225050","2220040",1
"LL","6225055","2220040",1
"LL","6225060","2220060",1
"LL","6225065","2220060",1
"LL","6225070","2220060",1
"LL","6225075","2220060",1
"LL","6225080","2220080",1
"LL","6225085","2220080",1
"LL","6225090","2220080",1
"LL","6225095","2220080",1
"LL","6225100","2220100",1
"LL","6225105","2220100",1
"LL","6225110","2220100",1
"LL","6230020","2230020",1
"LL","6230025","2230020",1
"LL","6230030","2230020",1
"LL","6230035","2230020",1
"LL","6230040","2230040",1
"LL","6230045","2230040",1
"LL","6230050","2230040",1
"LL","6230055","2230040",1
"LL","6230060","2230060",1
"LL","6230065","2230060",1
"LL","6230070","2230060",1
"LL","6230075","2230060",1
"LL","6230080","2230080",1
"LL","6230085","2230080",1
"LL","6230090","2230080",1
"LL","6230095","2230080",1
"LL","6230100","2230100",1
"LL","6230105","2230100",1
"LL","6230110","2230100",1
"LL","6230115","2230100",1
"LL","6230120","2230120",1
"LL","6230125","2230120",1
"LL","6230130","2230120",1
"LL","6230135","2230120",1
"LL","6235020","2230020",0.999999940395355
"LL","6235025","2230020",1
"LL","6235030","2230020",1
"LL","6235035","2230020",1
"LL","6235040","2230040",1
"LL","6235045","2230040",1
"LL","6235050","2230040",1
"LL","6235055","2230040",1
"LL","6235060","2230060",1
"LL","6235065","2230060",1
"LL","6235070","2230060",1
"LL","6235075","2230060",1
"LL","6235080","2230080",1
"LL","6235085","2230080",1
"LL","6235090","2230080",1
"LL","6235095","2230080",1
"LL","6235100","2230100",1
"LL","6235105","2230100",1
"LL","6235110","2230100",1
"LL","6235115","2230100",1
"LL","6235120","2230120",1
"LL","6235125","2230120",1
"LL","6235130","2230120",1
"LL","6235135","2230120",1
"LL","6235140","2230140",1
"LL","6235145","2230140",1
"LL","6240020","2240020",1
"LL","6240025","2240020",1
"LL","6240030","2240020",1
"LL","6240035","2240020",1
"LL","6240040","2240040",1
"LL","6240045","2240040",1
"LL","6240050","2240040",1
"LL","6240055","2240040",1
"LL","6240060","2240060",1
"LL","6240065","2240060",1
"LL","6240070","2240060",1
"LL","6240075","2240060",1
"LL","6240080","2240080",1
"LL","6240085","2240080",1
"LL","6240090","2240080",1
"LL","6240095","2240080",1
"LL","6240100","2240100",1
"LL","6240105","2240100",1
"LL","6240110","2240100",1
"LL","6240115","2240100",1
"LL","6240120","2240120",1
"LL","6240125","2240120",1
"LL","6240130","2240120",1
"LL","6240135","2240120",1
"LL","6240140","2240140",1
"LL","6240145","2240140",1
"LL","6245020","2240020",1
"LL","6245025","2240020",1
"LL","6245030","2240020",1
"LL","6245035","2240020",1
"LL","6245040","2240040",1
"LL","6245045","2240040",1
"LL","6245050","2240040",1
"LL","6245055","2240040",1
"LL","6245060","2240060",1
"LL","6245065","2240060",1
"LL","6245070","2240060",1
"LL","6245075","2240060",1
"LL","6245080","2240080",1
"LL","6245085","2240080",1
"LL","6245090","2240080",1
"LL","6245095","2240080",1
"LL","6245100","2240100",1
"LL","6245105","2240100",1
"LL","6245110","2240100",1
"LL","6245115","2240100",1
"LL","6245120","2240120",1
"LL","6245125","2240120",1
"LL","6245130","2240120",1
"LL","6245135","2240120",1
"LL","6245140","2240140",1
"LL","6245145","2240140",1
"LL","6250020","2250020",1
"LL","6250025","2250020",1
"LL","6250030","2250020",1
"LL","6250035","2250020",1
"LL","6250040","2250040",1
"LL","6250045","2250040",1
"LL","6250050","2250040",1
"LL","6250055","2250040",1
"LL","6250060","2250060",1
"LL","6250065","2250060",1
"LL","6250070","2250060",1
"LL","6250075","2250060",1
"LL","6250080","2250080",1
"LL","6250085","2250080",1
"LL","6250090","2250080",1
"LL","6250095","2250080",1
"LL","6250100","2250100",1
"LL","6250105","2250100",1
"LL","6250110","2250100",1
"LL","6250115","2250100",1
"LL","6250120","2250120",1
"LL","6250125","2250120",1
"LL","6250130","2250120",1
"LL","6250135","2250120",1
"LL","6250140","2250140",1
"LL","6250145","2250140",1
"LL","6255020","2250020",1
"LL","6255025","2250020",1
"LL","6255030","2250020",1
"LL","6255035","2250020",1
"LL","6255040","2250040",1
"LL","6255045","2250040",1
"LL","6255050","2250040",1
"LL","6255055","2250040",1
"LL","6255060","2250060",1
"LL","6255065","2250060",1
"LL","6255070","2250060",1
"LL","6255075","2250060",1
"LL","6255080","2250080",1
"LL","6255085","2250080",1
"LL","6255090","2250080",1
"LL","6255095","2250080",1
"LL","6255100","2250100",1
"LL","6255105","2250100",1
"LL","6255110","2250100",1
"LL","6255115","2250100",1
"LL","6255120","2250120",1
"LL","6255125","2250120",1
"LL","6255130","2250120",1
"LL","6255135","2250120",1
"LL","6255140","2250140",1
"LL","6255145","2250140",1
"PS","6100040","9100040",1
"PS","6100045","9100040",1
"PS","6100050","9100040",1
"PS","6100055","9100040",1
"PS","6100060","9100040",1
"PS","6100065","9100040",1
"PS","6100070","9200080",1
"PS","6100075","9200080",1
"PS","6100080","9200100",0.999999284744263
"PS","6100085","9200100",0.99999988079071
"PS","6100090","9200100",0.999999940395355
"PS","6100095","9200100",0.829295814037323
"PS","6100100","9100100",0.999995529651642
"PS","6105045","9100040",1
"PS","6105050","9100040",1
"PS","6105055","9100040",1
"PS","6105060","9100040",1
"PS","6105065","9100040",1
"PS","6105070","9100080",0.999980568885803
"PS","6105075","9100080",0.999976813793182
"PS","6105080","9100100",0.999973177909851
"PS","6105085","9100100",0.99997889995575
"PS","6105090","9100100",0.999979615211487
"PS","6105095","9100100",0.999985873699188
"PS","6105100","9100100",0.999988317489624
"PS","6110040","9120040",1
"PS","6110045","9120040",1
"PS","6110050","9100040",0.346675962209702
"PS","6110050","9120040",0.653324484825134
"PS","6110055","9100040",0.402233004570007
"PS","6110055","9120040",0.597766995429993
"PS","6110060","9100040",0.402233004570007
"PS","6110060","9120040",0.597766995429993
"PS","6110065","9100040",0.402233004570007
"PS","6110065","9120040",0.597766995429993
"PS","6110070","9100080",0.999999821186066
"PS","6110075","9100080",0.767754852771759
"PS","6110075","9100100",0.232219040393829
"PS","6110080","9100100",0.999999761581421
"PS","6110085","9100100",1
"PS","6110090","9100100",1
"PS","6110095","9100100",0.999996542930603
"PS","6115035","9120040",1
"PS","6115040","9120040",1
"PS","6115050","9120040",1
"PS","6115055","9120040",1
"PS","6115060","9120040",1
"PS","6115065","9120040",1
"PS","6115070","9100080",0.999999463558197
"PS","6115080","9100100",0.999999701976776
"PS","6115085","9100100",0.99999988079071
"PS","6115090","9100100",0.999997675418854
"PS","6115095","9100100",0.999988615512848
"PS","6120035","9120040",1
"PS","6120040","9120040",1
"PS","6120050","9120040",1
"PS","6120055","9120040",1
"PS","6120060","9120040",1
"PS","6120065","9120040",1
"PS","6120070","9100080",0.999992251396179
"PS","6120085","9100100",0.999996244907379
"PS","6120090","9100100",0.999997556209564
"PS","6125030","9120040",1
"PS","6125035","9120040",1
"PS","6125045","9120040",1
"PS","6125050","9120040",1
"PS","6125055","9120040",1
"PS","6125060","9120040",1
"PS","6125065","9120040",1
"PS","6130045","9120040",1
"PS","6130050","9120040",1
"PS","6200035","9200020",0.999989926815033
"PS","6200040","9200020",1
"PS","6200045","9200020",1
"PS","6200050","9200020",1
"PS","6200055","9200020",0.599690079689026
"PS","6200055","9200060",0.40030962228775
"PS","6200060","9200060",0.999998509883881
"PS","6200065","9200060",0.999998569488525
"PS","6200070","9200080",1
"PS","6200075","9200080",1
"PS","6200080","9200100",0.999996900558472
"PS","6200085","9200100",1
"PS","6200090","9200100",1
"PS","6200095","9200100",0.999999940395355
"PS","6200100","9200100",0.999989330768585
"PS","6205035","9200020",0.999995231628418
"PS","6205040","9200020",1
"PS","6205045","9200020",0.880203306674957
"PS","6205045","9200060",0.119796857237816
"PS","6205050","9200020",0.40132537484169
"PS","6205050","9200060",0.598673820495605
"PS","6205055","9200020",0.240816861391068
"PS","6205055","9200060",0.759183764457703
"PS","6205060","9200060",1
"PS","6205065","9200060",0.999999165534973
"PS","6205070","9200080",1
"PS","6205075","9200080",1
"PS","6205080","9200100",0.999999046325684
"PS","6205085","9200100",1
"PS","6205090","9200100",1
"PS","6205095","9200100",1
"PS","6205100","9200100",0.999998450279236
"PS","6205105","9200100",0.999994218349457
"PS","6205110","9200100",0.999990701675415
"PS","6205115","9200100",0.999991297721863
"PS","6205120","9200100",0.999759435653687
"PS","6205125","9200100",0.999510288238525
"PS","6210035","9200020",0.000918992154765874
"PS","6210035","9210020",0.999348223209381
"PS","6210040","9210020",0.999957025051117
"PS","6210045","9200060",0.0977888479828835
"PS","6210045","9210020",0.876810014247894
"PS","6210045","9220060",0.0252290740609169
"PS","6210050","9200060",0.406472235918045
"PS","6210050","9220060",0.59354031085968
"PS","6210055","9200060",0.402232557535172
"PS","6210055","9220060",0.597752690315247
"PS","6210060","9200060",0.402277261018753
"PS","6210060","9220060",0.597689568996429
"PS","6210065","9200060",0.402277618646622
"PS","6210065","9220060",0.597744166851044
"PS","6210070","9200080",0.402233004570007
"PS","6210070","9220060",0.597779870033264
"PS","6210075","9200080",0.402233004570007
"PS","6210075","9220060",0.597783923149109
"PS","6210080","9220060",0.597763121128082
"PS","6210080","9200100",0.402272969484329
"PS","6210085","9220060",0.597848236560822
"PS","6210085","9200100",0.402273207902908
"PS","6210090","9220060",0.597660958766937
"PS","6210090","9200100",0.402272969484329
"PS","6210095","9220060",0.597769260406494
"PS","6210095","9200100",0.40229520201683
"PS","6210100","9220060",0.597808539867401
"PS","6210100","9200100",0.40228545665741
"PS","6210105","9220060",0.598102509975433
"PS","6210105","9200100",0.4019975066185
"PS","6210110","9220060",0.597780108451843
"PS","6210110","9200100",0.402280062437057
"PS","6210115","9220060",0.598015964031219
"PS","6210115","9200100",0.402258038520813
"PS","6210120","9220060",0.611523509025574
"PS","6210120","9200100",0.388369649648666
"PS","6210125","9220060",0.540793180465698
"PS","6210125","9200100",0.459282219409943
"PS","6215030","9210020",0.999964892864227
"PS","6215035","9210020",0.99999862909317
"PS","6215040","9210020",0.999996721744537
"PS","6215045","9210020",0.363286912441254
"PS","6215045","9220060",0.630630970001221
"PS","6215050","9220060",0.999968886375427
"PS","6215055","9220060",1
"PS","6215060","9220060",1
"PS","6215065","9220060",1
"PS","6215070","9220060",1
"PS","6215075","9220060",1
"PS","6215080","9220060",1
"PS","6215085","9220060",1
"PS","6215090","9220060",1
"PS","6215095","9220060",1
"PS","6215100","9220060",1
"PS","6215105","9220060",1
"PS","6215110","9220060",1
"PS","6215115","9220060",0.999991774559021
"PS","6215120","9220060",0.999819874763489
"PS","6215125","9220060",0.992970407009125
"PS","6220030","9210020",0.999959766864777
"PS","6220035","9210020",0.999999225139618
"PS","6220040","9210020",0.999996364116669
"PS","6220045","9220060",0.999515295028687
"PS","6220050","9220060",1
"PS","6220055","9220060",1
"PS","6220060","9220060",1
"PS","6220065","9220060",1
"PS","6220070","9220060",1
"PS","6220075","9220060",1
"PS","6220080","9220060",1
"PS","6220085","9220060",1
"PS","6220090","9220060",1
"PS","6220095","9220060",1
"PS","6220100","9220060",1
"PS","6220105","9220060",1
"PS","6220110","9220060",0.999972999095917
"PS","6220115","9220060",0.999762654304504
"PS","6225030","9210020",0.999997615814209
"PS","6225035","9210020",1
"PS","6225040","9210020",0.999999165534973
"PS","6225045","9220060",0.99977719783783
"PS","6225050","9220060",1
"PS","6225055","9220060",1
"PS","6225060","9220060",1
"PS","6225065","9220060",1
"PS","6225070","9220060",1
"PS","6225075","9220060",1
"PS","6225080","9220060",1
"PS","6225085","9220060",1
"PS","6225090","9220060",1
"PS","6225095","9220060",1
"PS","6225100","9220060",1
"PS","6225105","9220060",1
"PS","6225110","9220060",0.999944150447845
"PS","6230020","9220060",0.999692797660828
