"GEAR_TYPE","GRID_5","SF_AREA","PROPORTION"
"PS","6230025","9220060",0.99972015619278
"PS","6230030","9220060",0.9997398853302
"PS","6230035","9220060",0.999922037124634
"PS","6230040","9220060",0.999936997890472
"PS","6230045","9220060",1
"PS","6230050","9220060",1
"PS","6230055","9220060",1
"PS","6230060","9220060",1
"PS","6230065","9220060",1
"PS","6230070","9220060",1
"PS","6230075","9220060",1
"PS","6230080","9220060",1
"PS","6230085","9220060",1
"PS","6230090","9220060",1
"PS","6230095","9220060",1
"PS","6230100","9220060",1
"PS","6230105","9220060",1
"PS","6230110","9220060",0.999999046325684
"PS","6230115","9220060",0.999764263629913
"PS","6230120","9220060",0.999930620193481
"PS","6230125","9220060",0.999986827373505
"PS","6230130","9220060",0.999922037124634
"PS","6230135","9220060",0.999283373355865
"PS","6235020","9220060",0.999888002872467
"PS","6235025","9220060",1
"PS","6235030","9220060",1
"PS","6235035","9220060",1
"PS","6235040","9220060",1
"PS","6235045","9220060",1
"PS","6235050","9220060",1
"PS","6235055","9220060",1
"PS","6235060","9220060",1
"PS","6235065","9220060",1
"PS","6235070","9220060",1
"PS","6235075","9220060",1
"PS","6235080","9220060",1
"PS","6235085","9220060",1
"PS","6235090","9220060",1
"PS","6235095","9220060",1
"PS","6235100","9220060",1
"PS","6235105","9220060",1
"PS","6235110","9220060",1
"PS","6235115","9220060",0.999990284442902
"PS","6235120","9220060",1
"PS","6235125","9220060",1
"PS","6235130","9220060",1
"PS","6235135","9220060",0.999941110610962
"PS","6235140","9220060",0.999964237213135
"PS","6235145","9220060",0.999817132949829
"PS","6240020","9220060",0.999890446662903
"PS","6240025","9220060",1
"PS","6240030","9220060",1
"PS","6240035","9220060",1
"PS","6240040","9220060",1
"PS","6240045","9220060",1
"PS","6240050","9220060",1
"PS","6240055","9220060",1
"PS","6240060","9220060",1
"PS","6240065","9220060",1
"PS","6240070","9220060",1
"PS","6240075","9220060",1
"PS","6240080","9220060",1
"PS","6240085","9220060",1
"PS","6240090","9220060",1
"PS","6240095","9220060",1
"PS","6240100","9220060",1
"PS","6240105","9220060",1
"PS","6240110","9220060",1
"PS","6240115","9220060",1
"PS","6240120","9220060",1
"PS","6240125","9220060",1
"PS","6240130","9220060",1
"PS","6240135","9220060",1
"PS","6240140","9220060",1
"PS","6240145","9220060",0.999881148338318
"PS","6245020","9220060",0.999913036823273
"PS","6245025","9220060",1
"PS","6245030","9220060",1
"PS","6245035","9220060",1
"PS","6245040","9220060",1
"PS","6245045","9220060",1
"PS","6245050","9220060",1
"PS","6245055","9220060",1
"PS","6245060","9220060",1
"PS","6245065","9220060",1
"PS","6245070","9220060",1
"PS","6245075","9220060",1
"PS","6245080","9220060",1
"PS","6245085","9220060",1
"PS","6245090","9220060",1
"PS","6245095","9220060",1
"PS","6245100","9220060",1
"PS","6245105","9220060",1
"PS","6245110","9220060",1
"PS","6245115","9220060",1
"PS","6245120","9220060",1
"PS","6245125","9220060",1
"PS","6245130","9220060",1
"PS","6245135","9220060",1
"PS","6245140","9220060",1
"PS","6245145","9220060",0.999779343605042
"PS","6250020","9220060",0.999842703342438
"PS","6250025","9220060",1
"PS","6250030","9220060",1
"PS","6250035","9220060",1
"PS","6250040","9220060",1
"PS","6250045","9220060",1
"PS","6250050","9220060",1
"PS","6250055","9220060",1
"PS","6250060","9220060",1
"PS","6250065","9220060",1
"PS","6250070","9220060",1
"PS","6250075","9220060",1
"PS","6250080","9220060",1
"PS","6250085","9220060",1
"PS","6250090","9220060",1
"PS","6250095","9220060",1
"PS","6250100","9220060",1
"PS","6250105","9220060",1
"PS","6250110","9220060",1
"PS","6250115","9220060",1
"PS","6250120","9220060",1
"PS","6250125","9220060",1
"PS","6250130","9220060",1
"PS","6250135","9220060",1
"PS","6250140","9220060",1
"PS","6250145","9220060",0.999974727630615
"PS","6255020","9220060",1
"PS","6255025","9220060",1
"PS","6255030","9220060",1
"PS","6255035","9220060",1
"PS","6255040","9220060",1
"PS","6255045","9220060",1
"PS","6255050","9220060",1
"PS","6255055","9220060",1
"PS","6255060","9220060",1
"PS","6255065","9220060",1
"PS","6255070","9220060",1
"PS","6255075","9220060",1
"PS","6255080","9220060",1
"PS","6255085","9220060",1
"PS","6255090","9220060",1
"PS","6255095","9220060",1
"PS","6255100","9220060",1
"PS","6255105","9220060",1
"PS","6255110","9220060",1
"PS","6255115","9220060",1
"PS","6255120","9220060",1
"PS","6255125","9220060",1
"PS","6255130","9220060",1
"PS","6255135","9220060",1
"PS","6255140","9220060",1
"PS","6255145","9220060",1
"PS","6100040","9100040",1
"PS","6100045","9100040",1
"PS","6100050","9100040",1
"PS","6100055","9100040",1
"PS","6100060","9100040",1
"PS","6100065","9100040",1
"PS","6100070","9200080",1
"PS","6100075","9200080",1
"PS","6100080","9200100",0.999999284744263
"PS","6100085","9200100",0.99999988079071
"PS","6100090","9200100",0.999999940395355
"PS","6100095","9200100",0.829295814037323
"PS","6100100","9100100",0.999995529651642
"PS","6105045","9100040",1
"PS","6105050","9100040",1
"PS","6105055","9100040",1
"PS","6105060","9100040",1
"PS","6105065","9100040",1
"PS","6105070","9100080",0.999980568885803
"PS","6105075","9100080",0.999976813793182
"PS","6105080","9100100",0.999973177909851
"PS","6105085","9100100",0.99997889995575
"PS","6105090","9100100",0.999979615211487
"PS","6105095","9100100",0.999985873699188
"PS","6105100","9100100",0.999988317489624
"PS","6110040","9120040",1
"PS","6110045","9120040",1
"PS","6110050","9100040",0.346675962209702
"PS","6110050","9120040",0.653324484825134
"PS","6110055","9100040",0.402233004570007
"PS","6110055","9120040",0.597766995429993
"PS","6110060","9100040",0.402233004570007
"PS","6110060","9120040",0.597766995429993
"PS","6110065","9100040",0.402233004570007
"PS","6110065","9120040",0.597766995429993
"PS","6110070","9100080",0.999999821186066
"PS","6110075","9100080",0.767754852771759
"PS","6110075","9100100",0.232219040393829
"PS","6110080","9100100",0.999999761581421
"PS","6110085","9100100",1
"PS","6110090","9100100",1
"PS","6110095","9100100",0.999996542930603
"PS","6115035","9120040",1
"PS","6115040","9120040",1
"PS","6115050","9120040",1
"PS","6115055","9120040",1
"PS","6115060","9120040",1
"PS","6115065","9120040",1
"PS","6115070","9100080",0.999999463558197
"PS","6115080","9100100",0.999999701976776
"PS","6115085","9100100",0.99999988079071
"PS","6115090","9100100",0.999997675418854
"PS","6115095","9100100",0.999988615512848
"PS","6120035","9120040",1
"PS","6120040","9120040",1
"PS","6120050","9120040",1
"PS","6120055","9120040",1
"PS","6120060","9120040",1
"PS","6120065","9120040",1
"PS","6120070","9100080",0.999992251396179
"PS","6120085","9100100",0.999996244907379
"PS","6120090","9100100",0.999997556209564
"PS","6125030","9120040",1
"PS","6125035","9120040",1
"PS","6125045","9120040",1
"PS","6125050","9120040",1
"PS","6125055","9120040",1
"PS","6125060","9120040",1
"PS","6125065","9120040",1
"PS","6130045","9120040",1
"PS","6130050","9120040",1
"PS","6200035","9200020",0.999989926815033
"PS","6200040","9200020",1
"PS","6200045","9200020",1
"PS","6200050","9200020",1
"PS","6200055","9200020",0.599690079689026
"PS","6200055","9200060",0.40030962228775
"PS","6200060","9200060",0.999998509883881
"PS","6200065","9200060",0.999998569488525
"PS","6200070","9200080",1
"PS","6200075","9200080",1
"PS","6200080","9200100",0.999996900558472
"PS","6200085","9200100",1
"PS","6200090","9200100",1
"PS","6200095","9200100",0.999999940395355
"PS","6200100","9200100",0.999989330768585
"PS","6205035","9200020",0.999995231628418
"PS","6205040","9200020",1
"PS","6205045","9200020",0.880203306674957
"PS","6205045","9200060",0.119796857237816
"PS","6205050","9200020",0.40132537484169
"PS","6205050","9200060",0.598673820495605
"PS","6205055","9200020",0.240816861391068
"PS","6205055","9200060",0.759183764457703
"PS","6205060","9200060",1
"PS","6205065","9200060",0.999999165534973
"PS","6205070","9200080",1
"PS","6205075","9200080",1
"PS","6205080","9200100",0.999999046325684
"PS","6205085","9200100",1
"PS","6205090","9200100",1
"PS","6205095","9200100",1
"PS","6205100","9200100",0.999998450279236
"PS","6205105","9200100",0.999994218349457
"PS","6205110","9200100",0.999990701675415
"PS","6205115","9200100",0.999991297721863
"PS","6205120","9200100",0.999759435653687
"PS","6205125","9200100",0.999510288238525
"PS","6210035","9200020",0.000918992154765874
"PS","6210035","9210020",0.999348223209381
"PS","6210040","9210020",0.999957025051117
"PS","6210045","9200060",0.0977888479828835
"PS","6210045","9210020",0.876810014247894
"PS","6210045","9220060",0.0252290740609169
"PS","6210050","9200060",0.406472235918045
"PS","6210050","9220060",0.59354031085968
"PS","6210055","9200060",0.402232557535172
"PS","6210055","9220060",0.597752690315247
"PS","6210060","9200060",0.402277261018753
"PS","6210060","9220060",0.597689568996429
"PS","6210065","9200060",0.402277618646622
"PS","6210065","9220060",0.597744166851044
"PS","6210070","9200080",0.402233004570007
"PS","6210070","9220060",0.597779870033264
"PS","6210075","9200080",0.402233004570007
"PS","6210075","9220060",0.597783923149109
"PS","6210080","9220060",0.597763121128082
"PS","6210080","9200100",0.402272969484329
"PS","6210085","9220060",0.597848236560822
"PS","6210085","9200100",0.402273207902908
"PS","6210090","9220060",0.597660958766937
"PS","6210090","9200100",0.402272969484329
"PS","6210095","9220060",0.597769260406494
"PS","6210095","9200100",0.40229520201683
"PS","6210100","9220060",0.597808539867401
"PS","6210100","9200100",0.40228545665741
"PS","6210105","9220060",0.598102509975433
"PS","6210105","9200100",0.4019975066185
"PS","6210110","9220060",0.597780108451843
"PS","6210110","9200100",0.402280062437057
"PS","6210115","9220060",0.598015964031219
"PS","6210115","9200100",0.402258038520813
"PS","6210120","9220060",0.611523509025574
"PS","6210120","9200100",0.388369649648666
"PS","6210125","9220060",0.540793180465698
"PS","6210125","9200100",0.459282219409943
"PS","6215030","9210020",0.999964892864227
"PS","6215035","9210020",0.99999862909317
"PS","6215040","9210020",0.999996721744537
"PS","6215045","9210020",0.363286912441254
"PS","6215045","9220060",0.630630970001221
"PS","6215050","9220060",0.999968886375427
"PS","6215055","9220060",1
"PS","6215060","9220060",1
"PS","6215065","9220060",1
"PS","6215070","9220060",1
"PS","6215075","9220060",1
"PS","6215080","9220060",1
"PS","6215085","9220060",1
"PS","6215090","9220060",1
"PS","6215095","9220060",1
"PS","6215100","9220060",1
"PS","6215105","9220060",1
"PS","6215110","9220060",1
"PS","6215115","9220060",0.999991774559021
"PS","6215120","9220060",0.999819874763489
"PS","6215125","9220060",0.992970407009125
"PS","6220030","9210020",0.999959766864777
"PS","6220035","9210020",0.999999225139618
"PS","6220040","9210020",0.999996364116669
"PS","6220045","9220060",0.999515295028687
"PS","6220050","9220060",1
"PS","6220055","9220060",1
"PS","6220060","9220060",1
"PS","6220065","9220060",1
"PS","6220070","9220060",1
"PS","6220075","9220060",1
"PS","6220080","9220060",1
"PS","6220085","9220060",1
"PS","6220090","9220060",1
"PS","6220095","9220060",1
"PS","6220100","9220060",1
"PS","6220105","9220060",1
"PS","6220110","9220060",0.999972999095917
"PS","6220115","9220060",0.999762654304504
"PS","6225030","9210020",0.999997615814209
"PS","6225035","9210020",1
"PS","6225040","9210020",0.999999165534973
"PS","6225045","9220060",0.99977719783783
"PS","6225050","9220060",1
"PS","6225055","9220060",1
"PS","6225060","9220060",1
"PS","6225065","9220060",1
"PS","6225070","9220060",1
"PS","6225075","9220060",1
"PS","6225080","9220060",1
"PS","6225085","9220060",1
"PS","6225090","9220060",1
"PS","6225095","9220060",1
"PS","6225100","9220060",1
"PS","6225105","9220060",1
"PS","6225110","9220060",0.999944150447845
"PS","6230020","9220060",0.999692797660828
"PS","6230025","9220060",0.99972015619278
"PS","6230030","9220060",0.9997398853302
"PS","6230035","9220060",0.999922037124634
"PS","6230040","9220060",0.999936997890472
"PS","6230045","9220060",1
"PS","6230050","9220060",1
"PS","6230055","9220060",1
"PS","6230060","9220060",1
"PS","6230065","9220060",1
"PS","6230070","9220060",1
"PS","6230075","9220060",1
"PS","6230080","9220060",1
"PS","6230085","9220060",1
"PS","6230090","9220060",1
"PS","6230095","9220060",1
"PS","6230100","9220060",1
"PS","6230105","9220060",1
"PS","6230110","9220060",0.999999046325684
"PS","6230115","9220060",0.999764263629913
"PS","6230120","9220060",0.999930620193481
"PS","6230125","9220060",0.999986827373505
"PS","6230130","9220060",0.999922037124634
"PS","6230135","9220060",0.999283373355865
"PS","6235020","9220060",0.999888002872467
"PS","6235025","9220060",1
"PS","6235030","9220060",1
"PS","6235035","9220060",1
"PS","6235040","9220060",1
"PS","6235045","9220060",1
"PS","6235050","9220060",1
"PS","6235055","9220060",1
"PS","6235060","9220060",1
"PS","6235065","9220060",1
"PS","6235070","9220060",1
"PS","6235075","9220060",1
"PS","6235080","9220060",1
"PS","6235085","9220060",1
"PS","6235090","9220060",1
"PS","6235095","9220060",1
"PS","6235100","9220060",1
"PS","6235105","9220060",1
"PS","6235110","9220060",1
"PS","6235115","9220060",0.999990284442902
"PS","6235120","9220060",1
"PS","6235125","9220060",1
"PS","6235130","9220060",1
"PS","6235135","9220060",0.999941110610962
"PS","6235140","9220060",0.999964237213135
"PS","6235145","9220060",0.999817132949829
"PS","6240020","9220060",0.999890446662903
"PS","6240025","9220060",1
"PS","6240030","9220060",1
"PS","6240035","9220060",1
"PS","6240040","9220060",1
"PS","6240045","9220060",1
"PS","6240050","9220060",1
"PS","6240055","9220060",1
"PS","6240060","9220060",1
"PS","6240065","9220060",1
"PS","6240070","9220060",1
"PS","6240075","9220060",1
"PS","6240080","9220060",1
"PS","6240085","9220060",1
"PS","6240090","9220060",1
"PS","6240095","9220060",1
"PS","6240100","9220060",1
"PS","6240105","9220060",1
"PS","6240110","9220060",1
"PS","6240115","9220060",1
"PS","6240120","9220060",1
"PS","6240125","9220060",1
"PS","6240130","9220060",1
"PS","6240135","9220060",1
"PS","6240140","9220060",1
"PS","6240145","9220060",0.999881148338318
"PS","6245020","9220060",0.999913036823273
"PS","6245025","9220060",1
"PS","6245030","9220060",1
"PS","6245035","9220060",1
"PS","6245040","9220060",1
"PS","6245045","9220060",1
"PS","6245050","9220060",1
"PS","6245055","9220060",1
"PS","6245060","9220060",1
"PS","6245065","9220060",1
"PS","6245070","9220060",1
"PS","6245075","9220060",1
"PS","6245080","9220060",1
"PS","6245085","9220060",1
"PS","6245090","9220060",1
"PS","6245095","9220060",1
"PS","6245100","9220060",1
"PS","6245105","9220060",1
"PS","6245110","9220060",1
"PS","6245115","9220060",1
"PS","6245120","9220060",1
"PS","6245125","9220060",1
"PS","6245130","9220060",1
"PS","6245135","9220060",1
"PS","6245140","9220060",1
"PS","6245145","9220060",0.999779343605042
"PS","6250020","9220060",0.999842703342438
"PS","6250025","9220060",1
"PS","6250030","9220060",1
"PS","6250035","9220060",1
"PS","6250040","9220060",1
"PS","6250045","9220060",1
"PS","6250050","9220060",1
"PS","6250055","9220060",1
"PS","6250060","9220060",1
"PS","6250065","9220060",1
"PS","6250070","9220060",1
"PS","6250075","9220060",1
"PS","6250080","9220060",1
"PS","6250085","9220060",1
"PS","6250090","9220060",1
"PS","6250095","9220060",1
"PS","6250100","9220060",1
"PS","6250105","9220060",1
"PS","6250110","9220060",1
"PS","6250115","9220060",1
"PS","6250120","9220060",1
"PS","6250125","9220060",1
"PS","6250130","9220060",1
"PS","6250135","9220060",1
"PS","6250140","9220060",1
"PS","6250145","9220060",0.999974727630615
"PS","6255020","9220060",1
"PS","6255025","9220060",1
"PS","6255030","9220060",1
"PS","6255035","9220060",1
"PS","6255040","9220060",1
"PS","6255045","9220060",1
"PS","6255050","9220060",1
"PS","6255055","9220060",1
"PS","6255060","9220060",1
"PS","6255065","9220060",1
"PS","6255070","9220060",1
"PS","6255075","9220060",1
"PS","6255080","9220060",1
"PS","6255085","9220060",1
"PS","6255090","9220060",1
"PS","6255095","9220060",1
"PS","6255100","9220060",1
"PS","6255105","9220060",1
"PS","6255110","9220060",1
"PS","6255115","9220060",1
"PS","6255120","9220060",1
"PS","6255125","9220060",1
"PS","6255130","9220060",1
"PS","6255135","9220060",1
"PS","6255140","9220060",1
"PS","6255145","9220060",1
